date,가계신용,가계대출,판매신용
2002-10,155036.53671821512,138741.47282572128,16295.025086521455
2002-11,154937.13417955377,138878.21820643035,16058.881271630366
2002-12,154738.32910223104,139151.7089678484,15586.593641848182
2003-01,154440.12148624694,139561.94510997552,14878.162197174908
2003-02,154368.0784675657,140179.17031302565,14188.907688125406
2003-03,154522.20004618738,141003.38457699883,13518.830114699686
2003-04,154902.48622211194,142034.587901895,12867.929476897727
2003-05,154964.36809950913,142779.8478066978,12184.557209773944
2003-06,154707.84567837894,143239.1642914072,11468.71331332833
2003-07,154132.91895872133,143412.53735602324,10720.39778756089
2003-08,154270.87305976593,144180.22760515986,10090.645565448362
2003-09,155121.7079815127,145542.23503881693,9579.456646990746
2003-10,156685.42372396163,147498.5596569946,9186.831032188042
2003-11,157575.13486660266,148719.24606879306,8855.851354346336
2003-12,157790.84140943573,149204.29427421227,8586.517613465625
2004-01,157332.5433524609,148953.7042732523,8378.829809545918
2004-02,157304.01132387153,149069.55356807308,8234.460501406553
2004-03,157705.2453236676,149551.8421586746,8153.4096890475275
2004-04,158536.24535184918,150400.57004505693,8135.677372468845
2004-05,159171.8613450077,151078.04948285982,8093.811263972541
2004-06,159612.09330314313,151584.28047208328,8027.811363558614
2004-07,159856.94122625553,151919.26301272737,7937.677671227072
2004-08,160658.672287342,152694.98638834283,7963.685994723881
2004-09,162017.28648640247,153911.45059892975,8105.836334049047
2004-10,163932.78382343703,155568.65564448797,8364.128689202567
2004-11,165012.72029011787,156541.09017251155,8471.630261089022
2004-12,165257.09588644505,156828.75418300045,8428.34104970841
2005-01,164665.91061241843,156431.6476759547,8234.261055060728
2005-02,165270.75633459794,157108.68529222722,8162.070265103262
2005-03,167071.63305298358,158859.86703181808,8211.768679836012
2005-04,170068.5407675753,161685.1928947272,8383.35629925898
2005-05,172273.51212054177,163808.12968940908,8465.385979670487
2005-06,173686.54711188294,165228.67741586373,8457.857721070532
2005-07,174307.6457415989,165946.83607409123,8360.77152345912
2005-08,175503.18609282866,167057.72368307965,8445.421331461926
2005-09,177273.1681655723,168561.34024282912,8711.807145078958
2005-10,179617.59195982973,170457.68575333955,9159.928964310215
2005-11,181208.3539385218,171799.5578159625,9408.837695885368
2005-12,182045.4541016484,172586.95643069793,9458.533339804417
2006-01,182128.89244920967,172819.88159754587,9309.01589606736
2006-02,183135.78269919276,173865.45169109845,9270.324613082576
2006-03,185066.12485159765,175723.66671135568,9342.459490850064
2006-04,187919.91890642446,178394.52665831754,9525.420529369823
2006-05,190038.17824031282,180402.52165131984,9635.695391972396
2006-06,191420.90285326276,181747.65169036263,9673.28407865778
2006-07,192068.0927452744,182429.91677544592,9638.186589425975
2006-08,193791.9206593215,184049.89546513234,9742.022275048545
2006-09,196592.38659540412,186607.58775942182,9984.791135525484
2006-10,200469.49055352222,190102.99365831455,10366.493170856798
2006-11,202869.94862791008,192299.84988930184,10570.098801547025
2006-12,203793.76081856762,193198.15645238364,10595.60802759617
2007-01,203240.92712549493,192797.91334756004,10443.020849004219
2007-02,203769.1983581055,193386.9425606841,10382.258417603069
2007-03,205378.57451639939,194965.2440917558,10413.320733392713
2007-04,208069.05560037645,197532.81794077516,10536.207796373155
2007-05,210087.5341710883,199493.3979474486,10594.103964838401
2007-06,211434.0102285351,200846.98411177617,10587.009238788449
2007-07,212108.48377271663,201593.57643375781,10514.923618223303
2007-08,213703.3893292246,203055.86718893488,10647.55424941454
2007-09,216218.72689805893,205233.85637730733,10984.901132362158
2007-10,219654.49647921976,208127.54399887528,11526.964267066167
2007-11,222121.1165150951,210283.50790511078,11837.606100442541
2007-12,223618.587005685,211701.7480960139,11916.826632491284
2008-01,224146.90795098935,212382.26457158464,11764.625863212392
2008-02,225468.4822240734,213692.57026178882,11775.894523483374
2008-03,227583.30982493723,215632.66516662648,11950.632613304231
2008-04,230491.39075358075,218202.54928609755,12288.840132674963
2008-05,232906.59292055608,220397.03335139217,12509.565663011426
2008-06,234828.91632586322,222216.1173625103,12612.809204313615
2008-07,236258.36096950222,223659.80131945206,12598.570756581543
2008-08,237744.3514032853,225017.27131909848,12727.089577212366
2008-09,239286.8876272125,226288.52736144947,12998.365666206088
2008-10,240885.96964128394,227473.56944650513,13412.399023562708
2008-11,241501.63791383887,228065.25288289023,13436.383345229831
2008-12,241133.8924448772,228063.5776706046,13070.318631207454
2009-01,239782.733234399,227468.54380964846,12314.20488149558
2009-02,239701.74350598018,227821.27748717312,11880.484532945928
2009-03,240890.92325962076,229121.77870317854,11769.157585558492
2009-04,243350.27249532074,231370.0474576648,11980.224039333289
2009-05,245539.18043275515,233432.55405303783,12106.612873277021
2009-06,247457.64707192412,235309.29848929748,12148.324087389692
2009-07,249105.67241282764,237000.28076644396,12105.357681671303
2009-08,251235.82443843284,238916.89076089763,12318.90181898823
2009-09,253848.1031487396,241059.12847265846,12788.95649934047
2009-10,256942.50854374826,243426.99390172653,13515.521722728025
2009-11,259005.55348468918,245021.68983269864,13983.884986528894
2009-12,260037.23797156246,245843.21626557488,14194.04629074308
2010-01,260037.5620043679,245891.57320035523,14146.005635370575
2010-02,260840.37150929333,246690.4075337839,14149.972244999517
2010-03,262445.6664863387,248239.71926586085,14205.9461196299
2010-04,264853.44693550403,250539.50839658617,14313.927259261722
2010-05,266847.03184616735,252427.52438182797,14419.491599723384
2010-06,268426.42121832847,253903.76722158602,14522.639141014884
2010-07,269591.6150519875,254968.23691586073,14623.369883136222
2010-08,271686.9772214117,256754.50165253377,14932.475906314388
2010-09,274712.5077266009,259262.56143160534,15449.957210549386
2010-10,278668.2065675555,262492.41625307506,16175.813795841212
2010-11,281453.3763521276,264875.29276863625,16578.10734528326
2010-12,283068.017080317,266411.1909782889,16656.837858875526
2011-01,283512.1287521241,267100.11088203307,16412.005336618022
2011-02,284867.7101059828,268544.3076964444,16323.383203590132
2011-03,287134.76114189316,270743.78142152255,16390.971459791854
2011-04,290313.2818598553,273698.532057268,16614.770105223193
2011-05,292667.5006444543,275892.34567325335,16775.187687663634
2011-06,294197.41749569034,277325.22226947855,16872.224207113173
2011-07,294903.0324135634,277997.1618459437,16905.879663571817
2011-08,296720.06183285906,279601.67535560223,17118.383780007618
2011-09,299648.5057535774,282138.7627984541,17509.73655642057
2011-10,303688.3641757183,285608.4241744994,18079.937992810683
2011-11,305972.60564946476,287616.49638763623,18356.109857300202
2011-12,306501.23017481685,288162.97943786444,18338.25214988912
2012-01,305274.2377517746,287247.87332518434,18026.36487057744
2012-02,305129.8768321831,287300.3023031261,17829.574397816443
2012-03,306068.1474160422,288320.2663716897,17747.880731606125
2012-04,308089.04950335214,290307.76553087524,17781.283871946496
2012-05,309667.8861476655,291828.1799225152,17839.706253071716
2012-06,310804.6573489823,292881.5095466096,17923.147874981787
2012-07,311499.3631073026,293467.75440315844,18031.608737676717
2012-08,313234.9199664057,294937.8335649268,18297.086400092918
2012-09,316011.3279262917,297291.74703191465,18719.580862230374
