date,국내총생산(시장가격 GDP),국민총소득(GNI)
1966-05,89.5281425637716,91.13728722175827
1966-06,91.30136250350583,92.88934007917976
1966-07,92.2501547519254,93.78953127132648
1966-08,93.02723675008623,94.7174306158683
1966-09,93.63260849798839,95.67303811280524
1966-10,94.06626999563184,96.65635376213729
1966-11,94.76248287331883,97.67741735286735
1966-12,95.72124713104937,98.73622888499537
1967-01,96.94256276882346,99.83278835852146
1967-02,98.90096960164938,101.7973369580119
1967-03,101.59646762952713,104.62987468346665
1967-04,105.0290568524567,108.33040153488582
1967-05,108.00541151884657,111.42523209657628
1967-06,110.52553162869673,113.914366368538
1967-07,112.58941718200717,115.79780435077109
1967-08,114.3433256838294,117.55031058325105
1967-09,115.78725713416343,119.17188506597788
1967-10,116.92121153300924,120.66252779895163
1967-11,119.62879148296378,123.52579263298134
1967-12,123.90999698402699,127.761679568067
1968-01,129.764828036199,133.37018860420864
1968-02,134.36991477209276,137.96467441008755
1968-03,137.72525719170827,141.54513698570378
1968-04,139.83085529504564,144.11157633105728
1968-05,141.55161334959573,145.94950391910268
1968-06,142.88753135535865,147.05891974984
1968-07,143.8386093123343,147.43982382326914
1968-08,144.75492181732753,148.11768197417456
1968-09,145.63646887033818,149.09249420255628
1968-10,146.48325047136643,150.3642605084143
1968-11,148.26750801809868,152.46400670356806
1968-12,150.98924151053492,155.3917327880176
1969-01,154.64845094867522,159.14743876176297
1969-02,158.90441509670384,163.39578618387705
1969-03,163.75713395462088,168.13677505435993
1969-04,169.2066075224262,173.37040537321155
1969-05,175.80902027255792,179.66100892301577
1969-06,183.564372205016,187.00858570377258
1969-07,192.4726633198006,195.4131357154819
1969-08,199.33023860864628,202.66692143179787
1969-09,204.1370980715531,208.76994285272033
1969-10,206.89324170852095,213.7221999782495
1969-11,209.81984633637217,217.4286142759446
1969-12,212.91691195510683,219.88918574580572
1970-01,216.18443856472484,221.10391438783262
1970-02,218.0879912935858,221.70466075746492
1970-03,218.62757014168952,221.69142485470243
1970-04,217.8031751090363,221.06420667954535
1970-05,219.96969501909578,223.63424712609705
1970-06,225.1271298718679,229.40154619435762
1970-07,233.27547966735284,238.36610388432695
1970-08,241.08095736570948,246.4826653935741
1970-09,248.5435629669378,253.75123072209902
1970-10,255.66329647103797,260.1717998699018
1970-11,261.3457574937846,265.39809225442616
1970-12,265.5909460351776,269.4301078756721
1971-01,268.39886209521717,272.26784673363983
1971-02,271.97669453881423,275.85139639790185
1971-03,276.32444336596865,280.18075686845816
1971-04,281.44210857668037,285.2559281453088
1971-05,285.439943446848,288.88277485553994
1971-06,288.3179479764716,291.06129699915135
1971-07,290.07612216555106,291.79149457614324
1971-08,292.98357408865763,293.9304230382838
1971-09,297.04030374579133,297.4780823855729
1971-10,302.2463111369523,302.43447261801066
1971-11,307.1880796320283,307.57271571261214
1971-12,311.8656092310194,312.8928116693772
1972-01,316.27889993392546,318.394760488306
1972-02,322.97304765920796,325.4741773268087
1972-03,331.94805240686657,334.13106218488525
1972-04,343.2039141769016,344.3654150625355
1972-05,352.06494398673414,352.62494198504646
1972-06,358.5311418363642,358.9096429524182
1972-07,362.6025077257919,363.21951796465083
