date,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율
2008-01,49297732,17.721474488927807,72.36228433389186,9.916241177180321
2008-02,49329973,17.654481586681587,72.37445883053695,9.971059582781445
2008-03,49324670,17.60817254327297,72.3753934897081,10.016433967018939
2008-04,49355153,17.558434070703825,72.39758936620052,10.04397656309565
2008-05,49380296,17.51422672719499,72.41727753110268,10.068495741702318
2008-06,49387462,17.474157712335977,72.43872341526682,10.087118872397209
2008-07,49416162,17.428595527107102,72.4664412424421,10.1049632304508
2008-08,49441742,17.37933707918301,72.48626069850047,10.13440222231652
2008-09,49469003,17.333539145715147,72.50371308271566,10.1627477715692
2008-10,49495874,17.28907140825516,72.52418858186039,10.18674000988446
2008-11,49516085,17.238315589772498,72.55111546076391,10.210568949463593
2008-12,49540367,17.19605145436246,72.57133763260171,10.232610913035828
2009-01,49552045,17.12677246721099,72.60169181715911,10.2715357156299
2009-02,49577741,17.06229414526975,72.63489274349955,10.302813111230703
2009-03,49596381,17.00877328126018,72.6490446954184,10.342182023321419
2009-04,49593665,16.96395094010495,72.64543969476746,10.390609365127583
2009-05,49618780,16.91068381769967,72.6706339817303,10.418682200570025
2009-06,49642216,16.866332075103173,72.70039073195282,10.433277192944006
2009-07,49665471,16.81784513832558,72.72846964443366,10.453685217240768
2009-08,49688156,16.767585418142705,72.74743099743931,10.484983584417986
2009-09,49711355,16.716245211984265,72.76603906692948,10.517715721086258
2009-10,49736280,16.665321572099884,72.7909324943482,10.543745933551927
2009-11,49759141,16.61671370090573,72.82093957369563,10.562346725398655
2009-12,49773145,16.573168121082162,72.84339778006795,10.583434098849892
2010-01,49810609,16.500597292436236,72.88218861166705,10.617214095896719
2010-02,49835331,16.435664890035547,72.91373463537344,10.650600474591009
2010-03,49862894,16.381120999515193,72.93280851287933,10.686070487605473
2010-04,49889125,16.34125473236903,72.9403131443977,10.718432123233269
2010-05,49913379,16.298365614557973,72.94813881464528,10.75349557079676
2010-06,49934126,16.25934135705109,72.96490780673722,10.775750836211692
2010-07,49955240,16.21741182706759,72.98125481931424,10.801333353618158
2010-08,49976963,16.174136071453564,73.00373173936158,10.822132189184845
2010-09,50001273,16.126601416727933,73.04048438926745,10.832914194004621
2010-10,50475351,15.954175335997167,73.15263444131375,10.89319022268909
2010-11,50495462,15.918592843055876,73.18709154497883,10.894315611965288
2010-12,50515666,15.876201651978617,73.22351248422618,10.900285863795203
2011-01,50534731,15.819421300570493,73.26419527196059,10.916383427468922
2011-02,50555262,15.774158187529519,73.28883193207464,10.937009880395832
2011-03,50575130,15.726731695993662,73.30394998490365,10.969318319102689
2011-04,50594424,15.688991735531962,73.3238212179271,10.987187046540939
2011-05,50613213,15.657283010268486,73.33069726278788,11.012019726943635
2011-06,50627347,15.628476443768621,73.34091987873668,11.030603677494694
2011-07,50641565,15.591708115655589,73.345172093319,11.063119791025414
2011-08,50662739,15.561912276397058,73.33527703664028,11.10281068696266
2011-09,50681829,15.519901619967188,73.33893573572493,11.141162644307883
2011-10,50699478,15.4707095800868,73.35372170892963,11.175568710983573
2011-11,50717719,15.433740227946766,73.364188559032,11.202071213021233
2011-12,50734284,15.39467867527213,73.36839916771073,11.236922157017135
2012-01,50750837,15.34245238162279,73.36949733459568,11.288050283781526
2012-02,50767313,15.304719790862281,73.3392409403271,11.356039268810623
2012-03,50783029,15.261240128075071,73.33341223108216,11.405347640842772
2012-04,50801531,15.225011624157547,73.3335418572326,11.441446518609842
2012-05,50819380,15.191913006416055,73.32813190558404,11.479955087999894
2012-06,50832898,15.162958051299771,73.32520565717107,11.511836291529159
2012-07,50851082,15.130551204397186,73.32252831906311,11.546920476539713
2012-08,50871606,15.103509804663922,73.3102902235876,11.586199971748485
2012-09,50891223,15.065252018014974,73.305043189864,11.62970479212103
2012-10,50912264,15.034157585292219,73.29908958674476,11.666752827963023
2012-11,50930805,15.003210728752473,73.30114652615445,11.695642745093073
2012-12,50948272,14.965545838335792,73.29694125838066,11.73751290328355
2013-01,50965180,14.922280270569043,73.28779374467038,11.789925984760576
2013-02,50991003,14.89566306432529,73.26652311585242,11.837813819822292
2013-03,51003843,14.842397267986257,73.26728105566477,11.890321676348977
2013-04,51018468,14.80391767153808,73.27085948562784,11.925222842834089
2013-05,51034494,14.771519043570805,73.2650744024228,11.963406554006394
2013-06,51047880,14.733172072963658,73.2719752514698,11.994852675566547
2013-07,51064841,14.703884028543241,73.26438165155552,12.031734319901242
2013-08,51081507,14.673365059492077,73.25341439123947,12.073220549268447
2013-09,51098531,14.635532281740154,73.25296885736304,12.111498860896804
2013-10,51115702,14.604074106230605,73.24969536758,12.146230526189388
2013-11,51127984,14.568121833241069,73.25130010993588,12.18057805682305
2013-12,51141463,14.534427769498889,73.24264071209696,12.222931518404156
2014-01,51156168,14.485762498864263,73.23835319330408,12.275884307831658
2014-02,51171176,14.452935379089196,73.22589967445735,12.321164946453449
2014-03,51185882,14.410627914939514,73.22151447932458,12.367857605735894
2014-04,51202130,14.377714364617253,73.222231184523,12.40005445085976
2014-05,51218424,14.3471653872052,73.21643672597189,12.436397886822913
2014-06,51233579,14.320559178580908,73.21510956710637,12.464331254312723
2014-07,51250261,14.292992576174393,73.18982629181147,12.517181132014137
2014-08,51266779,14.262614392060794,73.17515500632486,12.562230601614353
2014-09,51284774,14.233690490670778,73.16524393770362,12.601065571625606
2014-10,51302044,14.20274014813133,73.16040857943203,12.63685127243663
2014-11,51314683,14.163452982843136,73.16832299246592,12.668224024690943
2014-12,51327916,14.133437640445015,73.16274052505852,12.703821834496457
2015-01,51342881,14.080674592452263,73.16336611496344,12.7559592925843
2015-02,51360454,14.038954951605373,73.16033265593798,12.800712392456656
2015-03,51378174,13.99567255932451,73.15886703174776,12.845460408927728
2015-04,51395238,13.962492011419425,73.15693527871201,12.880572709868568
2015-05,51413925,13.928111887975875,73.14715419995653,12.924733912067596
2015-06,51431100,13.905541588649669,73.14045976072843,12.953998650621902
2015-07,51448183,13.87901493042038,73.12816858857775,12.992816481001865
2015-08,51465228,13.846296377041215,73.13090694944555,13.022796673513232
2015-09,51482816,13.807199279852913,73.13793208203685,13.05486863811024
2015-10,51500986,13.77364309102742,73.13937834122244,13.08697856775014
2015-11,51515399,13.736011245880093,73.14786594198756,13.11612281213235
2015-12,51529338,13.703869046406147,73.1480850772816,13.148045876312247
2016-01,51541582,13.65554126763125,73.14830771007378,13.19615102229497
2016-02,51555409,13.626781624407247,73.14336309503432,13.229855280558436
2016-03,51569536,13.591758901999818,73.14496682692666,13.263274271073527
2016-04,51584349,13.563189486020267,73.15005758820374,13.286752925775994
2016-05,51601265,13.539569233428677,73.14410993606455,13.316320830506772
2016-06,51619330,13.519499381336411,73.14244683144861,13.338053787214985
2016-07,51634618,13.496255554752047,73.1351513048862,13.368593140361762
2016-08,51649552,13.478430558313459,73.12445227017652,13.397117171510025
2016-09,51664244,13.453521162527801,73.1195505347954,13.4269283026768
2016-10,51677054,13.42684704898232,73.1110755655692,13.462077385448481
2016-11,51687682,13.402936119286604,73.10577789114242,13.491285989570978
2016-12,51696216,13.378439536077458,73.0893282401946,13.532232223727942
2017-01,51704332,13.342127696379483,73.0586887767934,13.599183526827114
2017-02,51712221,13.318600258921387,73.01812273736995,13.663277003708659
2017-03,51714935,13.291560745459702,72.97221779356389,13.736221460976408
2017-04,51722903,13.263099327584147,72.94721450572872,13.789686166687126
2017-05,51732586,13.244518648265524,72.87884661323523,13.876634738499249
