date,cpi,가계신용,가계대출,판매신용,경제활동인구,비경제활동인구,취업자,실업자,실업률,고용률,경제활동참가율,소비자물가등락률,근로일수,국내총생산(시장가격 GDP),국민총소득(GNI),중위연령,평균연령,전체임금총액,전체근로일수,전체근로시간,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율,자살자수
2022-01,104.85,620908.3353559964,585563.8286846349,35344.50667136151,28095.8,17104.0,26952.6,1143.2,4.1,59.6,62.2,3.8,19.3,191579.16409319,193137.4689147581,45.1,44.0,4721940.0,19.3,156.7,51632473,11.819189834273482,70.94231376444046,17.238496401286067,1004
2022-01,104.85,620908.3353559964,585563.8286846349,35344.50667136151,28095.8,17104.0,26952.6,1143.2,4.1,59.6,62.2,0.8,19.3,191579.16409319,193137.4689147581,45.1,44.0,4721940.0,19.3,156.7,51632473,11.819189834273482,70.94231376444046,17.238496401286067,1004
2022-01,104.85,620908.3353559964,585563.8286846349,35344.50667136151,28095.8,17104.0,26952.6,1143.2,4.1,59.6,62.2,3.8,19.3,191579.16409319,193137.4689147581,45.1,44.0,4721940.0,19.3,156.7,51632473,11.819189834273482,70.94231376444046,17.238496401286067,1004
2022-02,105.42,620809.0975213276,585365.2675078056,35443.830013522,28355.7,16856.9,27401.5,954.2,3.4,60.6,62.7,3.8,19.8,192180.85208361808,193773.441562754,45.1,44.0,3694897.0,17.4,141.4,51625561,11.787364402684169,70.88953667738352,17.323098919932317,879
2022-02,105.42,620809.0975213276,585365.2675078056,35443.830013522,28355.7,16856.9,27401.5,954.2,3.4,60.6,62.7,3.8,19.8,192180.85208361808,193773.441562754,45.1,44.0,3694897.0,17.4,141.4,51625561,11.787364402684169,70.88953667738352,17.323098919932317,879
2022-02,105.42,620809.0975213276,585365.2675078056,35443.830013522,28355.7,16856.9,27401.5,954.2,3.4,60.6,62.7,0.5,19.8,192180.85208361808,193773.441562754,45.1,44.0,3694897.0,17.4,141.4,51625561,11.787364402684169,70.88953667738352,17.323098919932317,879
2022-03,106.1,621232.075222676,585365.4993075596,35866.57591511648,28627.1,16592.2,27754.0,873.1,3.0,61.4,63.3,0.6,19.7,192939.28382319197,194897.98952248791,45.1,44.0,3836748.0,19.8,160.4,51610695,11.752172684363192,70.84194661590975,17.405880699727064,1109
2022-03,106.1,621232.075222676,585365.4993075596,35866.57591511648,28627.1,16592.2,27754.0,873.1,3.0,61.4,63.3,4.2,19.7,192939.28382319197,194897.98952248791,45.1,44.0,3836748.0,19.8,160.4,51610695,11.752172684363192,70.84194661590975,17.405880699727064,1109
2022-03,106.1,621232.075222676,585365.4993075596,35866.57591511648,28627.1,16592.2,27754.0,873.1,3.0,61.4,63.3,3.9,19.7,192939.28382319197,194897.98952248791,45.1,44.0,3836748.0,19.8,160.4,51610695,11.752172684363192,70.84194661590975,17.405880699727064,1109
2022-04,106.83,622177.2684600417,585564.5240838967,36612.74437614499,28942.1,16291.3,28078.2,863.8,3.0,62.1,64.0,4.8,20.0,193854.45931191163,196511.1127939601,45.1,44.0,3579506.0,20.0,162.3,51592660,11.722192652985909,70.82496037227001,17.452846974744084,1198
2022-04,106.83,622177.2684600417,585564.5240838967,36612.74437614499,28942.1,16291.3,28078.2,863.8,3.0,62.1,64.0,4.1,20.0,193854.45931191163,196511.1127939601,45.1,44.0,3579506.0,20.0,162.3,51592660,11.722192652985909,70.82496037227001,17.452846974744084,1198
2022-04,106.83,622177.2684600417,585564.5240838967,36612.74437614499,28942.1,16291.3,28078.2,863.8,3.0,62.1,64.0,0.7,20.0,193854.45931191163,196511.1127939601,45.1,44.0,3579506.0,20.0,162.3,51592660,11.722192652985909,70.82496037227001,17.452846974744084,1198
2022-05,107.5,622887.2978493519,585715.1206900586,37172.17715929337,29373.9,15871.3,28484.5,889.4,3.0,63.0,64.9,0.6,20.0,194360.48370015775,197343.33401635807,45.1,44.0,3591704.0,20.0,161.8,51583722,11.690887679644366,70.79575413344543,17.513358186910207,1181
2022-05,107.5,622887.2978493519,585715.1206900586,37172.17715929337,29373.9,15871.3,28484.5,889.4,3.0,63.0,64.9,5.3,20.0,194360.48370015775,197343.33401635807,45.1,44.0,3591704.0,20.0,161.8,51583722,11.690887679644366,70.79575413344543,17.513358186910207,1181
2022-05,107.5,622887.2978493519,585715.1206900586,37172.17715929337,29373.9,15871.3,28484.5,889.4,3.0,63.0,64.9,4.4,20.0,194360.48370015775,197343.33401635807,45.1,44.0,3591704.0,20.0,161.8,51583722,11.690887679644366,70.79575413344543,17.513358186910207,1181
2022-06,108.21,623362.1633906065,585817.2891260448,37544.87426456163,29366.1,15882.3,28478.4,887.7,3.0,62.9,64.9,6.0,19.3,194457.35698793057,197394.65318968185,45.1,44.0,3662766.0,19.3,156.7,51578178,11.660219948056326,70.77169534759447,17.568084704349193,1065
2022-06,108.21,623362.1633906065,585817.2891260448,37544.87426456163,29366.1,15882.3,28478.4,887.7,3.0,62.9,64.9,0.7,19.3,194457.35698793057,197394.65318968185,45.1,44.0,3662766.0,19.3,156.7,51578178,11.660219948056326,70.77169534759447,17.568084704349193,1065
2022-06,108.21,623362.1633906065,585817.2891260448,37544.87426456163,29366.1,15882.3,28478.4,887.7,3.0,62.9,64.9,4.6,19.3,194457.35698793057,197394.65318968185,45.1,44.0,3662766.0,19.3,156.7,51578178,11.660219948056326,70.77169534759447,17.568084704349193,1065
