date,cpi,가계신용,가계대출,판매신용,경제활동인구,비경제활동인구,취업자,실업자,실업률,고용률,경제활동참가율,소비자물가등락률,근로일수,국내총생산(시장가격 GDP),국민총소득(GNI),중위연령,평균연령,전체임금총액,전체근로일수,전체근로시간,총인구수,0~14세 구성비,15~64세 구성비,고령인구비율,자살자수
2020-01,100.09,535596.5951300123,505293.2456542492,30303.349475830448,27952.3,16713.0,26799.7,1152.7,4.1,60.0,62.6,0.4,19.6,170995.99929086704,172517.16325391768,43.9,42.9,4091969.0,19.3,157.6,51847509,12.441450176516678,71.98299729308114,15.575552530402184,1092
2020-02,100.16,536754.6065894476,507183.3806679045,29571.22592157216,27990.6,16707.6,26837.8,1152.8,4.1,60.0,62.6,0.1,19.8,169942.49607777828,171476.94427483153,43.9,42.9,3403361.0,19.3,157.1,51844627,12.417940628640263,71.91487750504984,15.667181866309887,993
2020-03,99.94,538811.72402254,509395.1467238463,29416.57729859739,27789.1,16923.1,26609.3,1179.7,4.2,59.5,62.2,-0.2,20.0,168793.3046313546,170279.3924712508,43.9,42.9,3473131.0,20.7,168.6,51843195,12.389242213949196,71.80681861910709,15.803939166943705,1149
2020-04,99.5,541767.9474292895,511928.54382207454,29839.403606906137,27733.8,16990.9,26562.1,1171.7,4.2,59.4,62.0,-0.4,19.6,167548.4249515959,168924.50784317544,43.9,42.9,3358565.0,19.2,156.7,51842524,12.363456686638171,71.7626479760129,15.87389533734893,1120
2020-05,99.44,545518.9926377598,515150.39198457566,30368.60065280372,28208.6,16547.5,26930.2,1278.4,4.5,60.2,63.0,-0.1,18.5,167570.01131795932,168799.380803775,43.9,42.9,3287099.0,18.5,150.2,51841371,12.338875065630498,71.71662377524699,15.94450115912251,1152
2020-06,99.71,550064.8596479509,519060.69121134985,31004.168436290136,28283.3,16492.1,27055.2,1228.0,4.3,60.4,63.2,0.3,20.6,168858.06373044476,169904.01135304957,43.9,42.9,3351376.0,20.6,167.4,51839408,12.318242523139924,71.68377578694572,15.99798168991436,1135
2020-07,99.63,555405.5484598626,523659.44150239707,31746.10695736539,28243.8,16551.3,27106.0,1137.8,4.0,60.5,63.1,-0.1,21.3,171412.58218905234,172238.39949099917,43.9,42.9,3526470.0,21.3,173.1,51839852,12.297764661828124,71.64625585736626,16.055979480805615,1228
2020-08,100.19,560769.6139864435,528614.4256801112,32155.18830636016,27948.7,16863.9,27084.7,864.0,3.1,60.4,62.4,0.6,18.9,173202.95016191498,174097.6219072372,43.9,42.9,3378692.0,18.9,153.9,51839953,12.271658502468163,71.60348698618611,16.124854511345717,1185
2020-09,100.74,566157.0562276936,533925.6437444921,32231.41248327445,28011.7,16817.3,27011.7,1000.0,3.6,60.3,62.5,0.5,19.9,174229.16764903266,175481.67860176368,43.9,42.9,3815583.0,19.9,162.2,51841786,12.246711561982066,71.55811144315129,16.19517699486665,1020
2020-10,100.18,571567.8751836126,539593.0956955401,31974.779488108252,28116.4,16735.9,27088.4,1028.1,3.7,60.4,62.7,-0.6,18.4,174491.2346504054,176390.5695745787,43.9,42.9,3333568.0,18.4,150.5,51838016,12.217060930726978,71.51786248918168,16.265076580091336,1147
2020-11,100.09,576376.3311698829,544473.3004681469,31903.030701735515,28208.0,16675.4,27241.3,966.7,3.4,60.7,62.8,-0.1,20.0,175166.72541294456,177247.66513684843,43.9,42.9,3297755.0,20.0,162.8,51834302,12.19040048036144,71.48448338322372,16.325116136414838,1061
2020-12,100.33,580582.4241865044,548566.2580623127,32016.16612415622,27660.9,17255.1,26525.6,1135.4,4.1,59.1,61.6,0.2,20.5,176255.63993665,178052.96528857292,43.9,42.9,4003680.0,20.5,166.8,51829023,12.170129079994426,71.43736242143711,16.392508498568457,913
2021-01,101.04,584186.1542334775,551871.9684780373,32314.185755370392,27388.0,17580.0,25818.1,1569.9,5.7,57.4,60.9,0.7,19.6,177757.97822152177,178806.47002975226,44.5,43.5,3877199.0,19.3,157.3,51825932,12.135332173090491,71.38196762192332,16.482700204986184,998
2021-02,101.58,588354.3806918627,555715.5726006905,32638.808091146144,27717.9,17269.3,26364.6,1353.3,4.9,58.6,61.6,0.5,19.9,179258.77912659838,180406.1436927329,44.5,43.5,3950181.0,17.5,142.8,51824142,12.105250097531764,71.33467448433589,16.560075418132346,1012
2021-03,101.84,593087.1035616598,560097.0704302724,32990.03313148348,28138.3,16868.7,26922.9,1215.4,4.3,59.8,62.5,0.3,19.6,180758.04265187983,182851.98627751484,44.5,43.5,3605594.0,20.8,168.7,51705905,12.101708692653188,71.31490880973847,16.583382497608348,1321
